2025-12-28 13:36:46,ipd,success_send_ipd,2025-12-28 13:36:49
2025-12-28 13:36:46,ipd,success_send_ipd,2025-12-28 13:36:49
2025-12-28 13:36:49,or,success_send_or,2025-12-28 13:36:52
2025-12-28 13:36:49,or,success_send_or,2025-12-28 13:36:52
2025-12-28 13:37:12,icu,success_send_icu,2025-12-28 13:37:15
2025-12-28 13:37:12,icu,success_send_icu,2025-12-28 13:37:15
2025-12-30 10:30:58,ipd,success_send_ipd,2025-12-30 10:31:01
2025-12-30 10:31:20,icu,success_send_icu,2025-12-30 10:31:23
2025-12-30 10:31:23,or,success_send_or,2025-12-30 10:31:26
2025-12-30 10:33:26,or,fail_send_or,
2025-12-30 10:37:19,or,fail_send_or,,HTTP_401
2025-12-31 13:59:59,icu,success_send_icu,2025-12-31 14:00:02
2025-12-31 14:05:41,icu,success_send_icu,2025-12-31 14:05:44
2025-12-31 14:05:52,ipd,success_send_ipd,2025-12-31 14:05:55
2025-12-31 14:05:59,or,success_send_or,2025-12-31 14:06:01
2025-12-31 14:15:08,icu,success_send_icu,2025-12-31 14:15:11
2025-12-31 14:28:21,icu,success_send_icu,2025-12-31 14:28:23
2025-12-31 14:28:35,icu,success_send_icu,2025-12-31 14:28:37
2025-12-31 14:28:55,ipd,success_send_ipd,2025-12-31 14:28:57
2025-12-31 14:28:57,or,success_send_or,2025-12-31 14:29:00
2025-12-31 14:48:59,icu,fail_send_icu,,connection_error
2025-12-31 14:51:16,icu,success_send_icu,2025-12-31 14:51:19
2025-12-31 14:54:43,icu,success_send_icu,2025-12-31 14:54:45
2025-12-31 14:54:52,ipd,success_send_ipd,2025-12-31 14:54:54
2025-12-31 14:55:01,or,success_send_or,2025-12-31 14:55:03
